"movie_title","movie_detail","movie_num","movie_evaluate","link"
"天使爱美丽","
                            导演: Jean-Pierre Jeunet<U+00A0><U+00A0><U+00A0>主演: 奥黛丽·塔图 Audrey Tautou / 马修·卡索...
                            2001<U+00A0>/<U+00A0>法国 德国<U+00A0>/<U+00A0>喜剧 爱情
                        ","8.7","461313人评价","https://movie.douban.com/subject/1292215/"
"情书","
                            导演: 岩井俊二 Shunji Iwai<U+00A0><U+00A0><U+00A0>主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>剧情 爱情
                        ","8.8","353946人评价","https://movie.douban.com/subject/1292220/"
"死亡诗社","
                            导演: 彼得·威尔 Peter Weir<U+00A0><U+00A0><U+00A0>主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        ","8.9","260649人评价","https://movie.douban.com/subject/1291548/"
"美国往事","
                            导演: Sergio Leone<U+00A0><U+00A0><U+00A0>主演: 罗伯特·德尼罗 Robert De Niro / 詹姆斯·伍兹 ...
                            1984<U+00A0>/<U+00A0>意大利 美国<U+00A0>/<U+00A0>犯罪 剧情
                        ","9.1","165063人评价","https://movie.douban.com/subject/1292262/"
"七宗罪","
                            导演: 大卫·芬奇 David Fincher<U+00A0><U+00A0><U+00A0>主演: 摩根·弗里曼 Morgan Freeman / 布...
                            1995<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪 悬疑 惊悚
                        ","8.7","415548人评价","https://movie.douban.com/subject/1292223/"
"钢琴家","
                            导演: 罗曼·波兰斯基 Roman Polanski<U+00A0><U+00A0><U+00A0>主演: 艾德里安·布洛迪 Adrien Brod...
                            2002<U+00A0>/<U+00A0>法国 德国 英国 波兰<U+00A0>/<U+00A0>剧情 传记 历史 战争
                        ","9.0","192676人评价","https://movie.douban.com/subject/1296736/"
"狮子王","
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff<U+00A0><U+00A0><U+00A0>主演: 乔纳森·泰勒·托马...
                            1994<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 动画 冒险 歌舞 家庭
                        ","8.9","266946人评价","https://movie.douban.com/subject/1301753/"
"被嫌弃的松子的一生","
                            导演: 中岛哲也 Tetsuya Nakashima<U+00A0><U+00A0><U+00A0>主演: 中谷美纪 Miki Nakatani / 瑛太 E...
                            2006<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>剧情 歌舞
                        ","8.9","259831人评价","https://movie.douban.com/subject/1787291/"
"致命魔术","
                            导演: 克里斯托弗·诺兰 Christopher Nolan<U+00A0><U+00A0><U+00A0>主演: 克里斯蒂安·贝尔 Christ...
                            2006<U+00A0>/<U+00A0>美国 英国<U+00A0>/<U+00A0>剧情 悬疑 惊悚
                        ","8.8","320833人评价","https://movie.douban.com/subject/1780330/"
"辩护人","
                            导演: 杨宇硕 Woo-seok Yang<U+00A0><U+00A0><U+00A0>主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
                            2013<U+00A0>/<U+00A0>韩国<U+00A0>/<U+00A0>剧情
                        ","9.1","183464人评价","https://movie.douban.com/subject/21937445/"
"勇敢的心","
                            导演: 梅尔·吉布森 Mel Gibson<U+00A0><U+00A0><U+00A0>主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
                            1995<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>动作 传记 剧情 历史 战争
                        ","8.8","283636人评价","https://movie.douban.com/subject/1294639/"
"控方证人","
                            导演: 比利·怀尔德 Billy Wilder<U+00A0><U+00A0><U+00A0>主演: 查尔斯·劳顿 Charles Laughton / ...
                            1957<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪 悬疑
                        ","9.6","73141人评价","https://movie.douban.com/subject/1296141/"
"剪刀手爱德华","
                            导演: Tim Burton<U+00A0><U+00A0><U+00A0>主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...
                            1990<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 奇幻 爱情
                        ","8.7","460033人评价","https://movie.douban.com/subject/1292370/"
"小鞋子","
                            导演: 马基德·马基迪 Majid Majidi<U+00A0><U+00A0><U+00A0>主演: Amir Farrokh Hashemian / 默罕...
                            1999<U+00A0>/<U+00A0>伊朗<U+00A0>/<U+00A0>剧情 家庭 儿童
                        ","9.2","127194人评价","https://movie.douban.com/subject/1303021/"
"饮食男女","
                            导演: 李安 Ang Lee<U+00A0><U+00A0><U+00A0>主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...
                            1994<U+00A0>/<U+00A0>台湾 美国<U+00A0>/<U+00A0>剧情 家庭
                        ","9.0","176376人评价","https://movie.douban.com/subject/1291818/"
"音乐之声","
                            导演: Robert Wise<U+00A0><U+00A0><U+00A0>主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...
                            1965<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 爱情 歌舞 家庭 传记
                        ","8.9","220436人评价","https://movie.douban.com/subject/1294408/"
"低俗小说","
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino<U+00A0><U+00A0><U+00A0>主演: 约翰·特拉沃尔塔 John Tra...
                            1994<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 喜剧 犯罪
                        ","8.7","312765人评价","https://movie.douban.com/subject/1291832/"
"入殓师","
                            导演: 泷田洋二郎 Y<U+00F4>jir<U+00F4> Takita<U+00A0><U+00A0><U+00A0>主演: 本木雅弘 Masahiro Motoki / ...
                            2008<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>剧情
                        ","8.8","304543人评价","https://movie.douban.com/subject/2149806/"
"本杰明·巴顿奇事","
                            导演: 大卫·芬奇 David Fincher<U+00A0><U+00A0><U+00A0>主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 爱情 奇幻
                        ","8.7","373068人评价","https://movie.douban.com/subject/1485260/"
"沉默的羔羊","
                            导演: 乔纳森·戴米 Jonathan Demme<U+00A0><U+00A0><U+00A0>主演: 朱迪·福斯特 Jodie Foster / 安...
                            1991<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪 惊悚
                        ","8.7","331291人评价","https://movie.douban.com/subject/1293544/"
"蝴蝶效应","
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber<U+00A0><U+00A0><U+00A0>主...
                            2004<U+00A0>/<U+00A0>美国 加拿大<U+00A0>/<U+00A0>剧情 悬疑 科幻 惊悚
                        ","8.7","360675人评价","https://movie.douban.com/subject/1292343/"
"黑客帝国","
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski<U+00A0><U+00A0><U+00A0>主...
                            1999<U+00A0>/<U+00A0>美国 澳大利亚<U+00A0>/<U+00A0>动作 科幻
                        ","8.8","262726人评价","https://movie.douban.com/subject/1291843/"
"拯救大兵瑞恩","
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg<U+00A0><U+00A0><U+00A0>主演: 汤姆·汉克斯 Tom Hanks...
                            1998<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 历史 战争
                        ","8.8","220896人评价","https://movie.douban.com/subject/1292849/"
"玛丽和马克思","
                            导演: Adam Elliot<U+00A0><U+00A0><U+00A0>主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍...
                            2009<U+00A0>/<U+00A0>澳大利亚<U+00A0>/<U+00A0>剧情 爱情 动画
                        ","8.9","223841人评价","https://movie.douban.com/subject/3072124/"
