"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
"46" "哈尔的移动城堡" "
                            导演: 宫崎骏 Hayao Miyazaki<U+00A0><U+00A0><U+00A0>主演: 倍赏千惠子 Chieko Baish<U+00F4> / 木村拓...
                            2004<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>爱情 动画 奇幻 冒险
                        " "8.8" "327747人评价" "https://movie.douban.com/subject/1308807/"
"47" "指环王2：双塔奇兵" "
                            导演: 彼得·杰克逊 Peter Jackson<U+00A0><U+00A0><U+00A0>主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002<U+00A0>/<U+00A0>美国 新西兰<U+00A0>/<U+00A0>剧情 动作 奇幻 冒险
                        " "8.9" "258436人评价" "https://movie.douban.com/subject/1291572/"
"48" "指环王1：魔戒再现" "
                            导演: 彼得·杰克逊 Peter Jackson<U+00A0><U+00A0><U+00A0>主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001<U+00A0>/<U+00A0>新西兰 美国<U+00A0>/<U+00A0>剧情 动作 奇幻 冒险
                        " "8.9" "288235人评价" "https://movie.douban.com/subject/1291571/"
"49" "天使爱美丽" "
                            导演: Jean-Pierre Jeunet<U+00A0><U+00A0><U+00A0>主演: 奥黛丽·塔图 Audrey Tautou / 马修·卡索...
                            2001<U+00A0>/<U+00A0>法国 德国<U+00A0>/<U+00A0>喜剧 爱情
                        " "8.7" "461197人评价" "https://movie.douban.com/subject/1292215/"
"50" "情书" "
                            导演: 岩井俊二 Shunji Iwai<U+00A0><U+00A0><U+00A0>主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>剧情 爱情
                        " "8.8" "353825人评价" "https://movie.douban.com/subject/1292220/"
"51" "死亡诗社" "
                            导演: 彼得·威尔 Peter Weir<U+00A0><U+00A0><U+00A0>主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        " "8.9" "260538人评价" "https://movie.douban.com/subject/1291548/"
"52" "美国往事" "
                            导演: Sergio Leone<U+00A0><U+00A0><U+00A0>主演: 罗伯特·德尼罗 Robert De Niro / 詹姆斯·伍兹 ...
                            1984<U+00A0>/<U+00A0>意大利 美国<U+00A0>/<U+00A0>犯罪 剧情
                        " "9.1" "165010人评价" "https://movie.douban.com/subject/1292262/"
"53" "七宗罪" "
                            导演: 大卫·芬奇 David Fincher<U+00A0><U+00A0><U+00A0>主演: 摩根·弗里曼 Morgan Freeman / 布...
                            1995<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪 悬疑 惊悚
                        " "8.7" "415443人评价" "https://movie.douban.com/subject/1292223/"
