"movieNoTotal"      "movieNameTotal"      "movieScoreTotal"      "evaluNumberTotal"      "movieLinkTotal"
"128"      "128"      "记忆碎片"      "8.5"      "257402人评价"      "https://movie.douban.com/subject/1304447/"
"129"      "129"      "疯狂原始人"      "8.7"      "347648人评价"      "https://movie.douban.com/subject/1907966/"
"130"      "130"      "杀人回忆"      "8.6"      "189526人评价"      "https://movie.douban.com/subject/1300299/"
"131"      "131"      "怪兽电力公司"      "8.6"      "219839人评价"      "https://movie.douban.com/subject/1291579/"
"132"      "132"      "红辣椒"      "8.8"      "114700人评价"      "https://movie.douban.com/subject/1865703/"
"133"      "133"      "卢旺达饭店"      "8.8"      "109029人评价"      "https://movie.douban.com/subject/1291822/"
"134"      "134"      "穿越时空的少女"      "8.6"      "172389人评价"      "https://movie.douban.com/subject/1937946/"
"135"      "135"      "黑天鹅"      "8.5"      "389109人评价"      "https://movie.douban.com/subject/1978709/"
"136"      "136"      "魂断蓝桥"      "8.8"      "121708人评价"      "https://movie.douban.com/subject/1293964/"
"137"      "137"      "恋恋笔记本"      "8.5"      "258280人评价"      "https://movie.douban.com/subject/1309163/"
"138"      "138"      "猜火车"      "8.5"      "228316人评价"      "https://movie.douban.com/subject/1292528/"
"139"      "139"      "喜宴"      "8.8"      "124108人评价"      "https://movie.douban.com/subject/1303037/"
"140"      "140"      "英雄本色"      "8.7"      "135424人评价"      "https://movie.douban.com/subject/1297574/"
"141"      "141"      "傲慢与偏见"      "8.4"      "277000人评价"      "https://movie.douban.com/subject/1418200/"
"142"      "142"      "雨中曲"      "8.9"      "86511人评价"      "https://movie.douban.com/subject/1293460/"
"143"      "143"      "教父3"      "8.7"      "118958人评价"      "https://movie.douban.com/subject/1294240/"
"144"      "144"      "小森林 夏秋篇"      "8.9"      "109765人评价"      "https://movie.douban.com/subject/25814705/"
"145"      "145"      "完美的世界"      "9.0"      "72187人评价"      "https://movie.douban.com/subject/1300992/"
"146"      "146"      "喜剧之王"      "8.4"      "277920人评价"      "https://movie.douban.com/subject/1302425/"
"147"      "147"      "纵横四海"      "8.7"      "129745人评价"      "https://movie.douban.com/subject/1295409/"
"148"      "148"      "玩具总动员3"      "8.7"      "180973人评价"      "https://movie.douban.com/subject/1858711/"
"149"      "149"      "萤火之森"      "8.7"      "140350人评价"      "https://movie.douban.com/subject/5989818/"
"150"      "150"      "人工智能"      "8.6"      "176510人评价"      "https://movie.douban.com/subject/1302827/"
"151"      "151"      "我是山姆"      "8.8"      "92848人评价"      "https://movie.douban.com/subject/1306861/"
"152"      "152"      "香水"      "8.4"      "255377人评价"      "https://movie.douban.com/subject/1760622/"
"153"      "153"      "浪潮"      "8.7"      "119275人评价"      "https://movie.douban.com/subject/2297265/"
"154"      "154"      "冰川时代"      "8.4"      "250879人评价"      "https://movie.douban.com/subject/1291578/"
"155"      "155"      "7号房的礼物"      "8.7"      "154083人评价"      "https://movie.douban.com/subject/10777687/"
"156"      "156"      "撞车"      "8.6"      "162836人评价"      "https://movie.douban.com/subject/1388216/"
"157"      "157"      "哈利·波特与死亡圣器(下)"      "8.6"      "252072人评价"      "https://movie.douban.com/subject/3011235/"
"158"      "158"      "花样年华"      "8.4"      "223007人评价"      "https://movie.douban.com/subject/1291557/"
"159"      "159"      "朗读者"      "8.5"      "261858人评价"      "https://movie.douban.com/subject/2213597/"
"160"      "160"      "追随"      "9.0"      "72205人评价"      "https://movie.douban.com/subject/1397546/"
"161"      "161"      "一次别离"      "8.7"      "121537人评价"      "https://movie.douban.com/subject/5964718/"
"162"      "162"      "碧海蓝天"      "8.7"      "102853人评价"      "https://movie.douban.com/subject/1300960/"
"163"      "163"      "秒速5厘米"      "8.4"      "268022人评价"      "https://movie.douban.com/subject/2043546/"
"164"      "164"      "罗生门"      "8.7"      "111578人评价"      "https://movie.douban.com/subject/1291879/"
"165"      "165"      "梦之安魂曲"      "8.7"      "101849人评价"      "https://movie.douban.com/subject/1292270/"
"166"      "166"      "战争之王"      "8.5"      "161712人评价"      "https://movie.douban.com/subject/1419936/"
"167"      "167"      "可可西里"      "8.6"      "118779人评价"      "https://movie.douban.com/subject/1308857/"
"168"      "168"      "心迷宫"      "8.6"      "137117人评价"      "https://movie.douban.com/subject/25917973/"
"169"      "169"      "唐伯虎点秋香"      "8.3"      "286978人评价"      "https://movie.douban.com/subject/1306249/"
"170"      "170"      "超能陆战队"      "8.6"      "334194人评价"      "https://movie.douban.com/subject/11026735/"
"171"      "171"      "时空恋旅人"      "8.6"      "174604人评价"      "https://movie.douban.com/subject/10577869/"
"172"      "172"      "海盗电台"      "8.6"      "156980人评价"      "https://movie.douban.com/subject/3007773/"
"173"      "173"      "谍影重重2"      "8.5"      "146439人评价"      "https://movie.douban.com/subject/1308767/"
"174"      "174"      "谍影重重"      "8.5"      "177001人评价"      "https://movie.douban.com/subject/1304102/"
"175"      "175"      "蝙蝠侠：黑暗骑士崛起"      "8.5"      "270476人评价"      "https://movie.douban.com/subject/3395373/"
"176"      "176"      "阿飞正传"      "8.5"      "162043人评价"      "https://movie.douban.com/subject/1305690/"
"177"      "177"      "荒蛮故事"      "8.7"      "112701人评价"      "https://movie.douban.com/subject/24750126/"
"178"      "178"      "地球上的星星"      "8.8"      "72141人评价"      "https://movie.douban.com/subject/2363506/"
"179"      "179"      "小森林 冬春篇"      "8.9"      "94747人评价"      "https://movie.douban.com/subject/25814707/"
"180"      "180"      "迁徙的鸟"      "9.1"      "49068人评价"      "https://movie.douban.com/subject/1292281/"
"181"      "181"      "荒野生存"      "8.6"      "117885人评价"      "https://movie.douban.com/subject/1905462/"
"182"      "182"      "恐怖游轮"      "8.3"      "283049人评价"      "https://movie.douban.com/subject/3011051/"
"183"      "183"      "绿里奇迹"      "8.7"      "97357人评价"      "https://movie.douban.com/subject/1300374/"
"184"      "184"      "勇闯夺命岛"      "8.5"      "131478人评价"      "https://movie.douban.com/subject/1292728/"
"185"      "185"      "惊魂记"      "8.8"      "73875人评价"      "https://movie.douban.com/subject/1293181/"
"186"      "186"      "达拉斯买家俱乐部"      "8.6"      "152029人评价"      "https://movie.douban.com/subject/1793929/"
"187"      "187"      "魔女宅急便"      "8.4"      "175448人评价"      "https://movie.douban.com/subject/1307811/"
"188"      "188"      "再次出发之纽约遇见你"      "8.5"      "147937人评价"      "https://movie.douban.com/subject/6874403/"
"189"      "189"      "卡萨布兰卡"      "8.6"      "114588人评价"      "https://movie.douban.com/subject/1296753/"
"190"      "190"      "爆裂鼓手"      "8.6"      "210792人评价"      "https://movie.douban.com/subject/25773932/"
"191"      "191"      "燕尾蝶"      "8.6"      "102006人评价"      "https://movie.douban.com/subject/1307793/"
"192"      "192"      "未麻的部屋"      "8.8"      "80597人评价"      "https://movie.douban.com/subject/1395091/"
"193"      "193"      "东京物语"      "9.2"      "44999人评价"      "https://movie.douban.com/subject/1291568/"
"194"      "194"      "牯岭街少年杀人事件"      "8.7"      "93313人评价"      "https://movie.douban.com/subject/1292329/"
"195"      "195"      "这个男人来自地球"      "8.5"      "159908人评价"      "https://movie.douban.com/subject/2300586/"
"196"      "196"      "英国病人"      "8.4"      "163553人评价"      "https://movie.douban.com/subject/1291853/"
"197"      "197"      "变脸"      "8.4"      "198262人评价"      "https://movie.douban.com/subject/1292659/"
"198"      "198"      "被解救的姜戈"      "8.5"      "239402人评价"      "https://movie.douban.com/subject/6307447/"
"199"      "199"      "终结者2：审判日"      "8.5"      "129378人评价"      "https://movie.douban.com/subject/1291844/"
"200"      "200"      "末路狂花"      "8.7"      "93989人评价"      "https://movie.douban.com/subject/1291992/"
"201"      "201"      "E.T. 外星人"      "8.5"      "139813人评价"      "https://movie.douban.com/subject/1294638/"
"202"      "202"      "叫我第一名"      "8.6"      "100216人评价"      "https://movie.douban.com/subject/4798888/"
"203"      "203"      "忠犬八公物语"      "9.0"      "49344人评价"      "https://movie.douban.com/subject/1959195/"
"204"      "204"      "哪吒闹海"      "8.8"      "71481人评价"      "https://movie.douban.com/subject/1307315/"
"205"      "205"      "发条橙"      "8.4"      "171503人评价"      "https://movie.douban.com/subject/1292233/"
"206"      "206"      "青蛇"      "8.4"      "197886人评价"      "https://movie.douban.com/subject/1303394/"
"207"      "207"      "穆赫兰道"      "8.3"      "213854人评价"      "https://movie.douban.com/subject/1292217/"
"208"      "208"      "源代码"      "8.3"      "377104人评价"      "https://movie.douban.com/subject/3075287/"
"209"      "209"      "新龙门客栈"      "8.4"      "166174人评价"      "https://movie.douban.com/subject/1292287/"
"210"      "210"      "黑客帝国3：矩阵革命"      "8.5"      "140304人评价"      "https://movie.douban.com/subject/1302467/"
"211"      "211"      "黄金三镖客"      "9.1"      "45863人评价"      "https://movie.douban.com/subject/1401118/"
"212"      "212"      "非常嫌疑犯"      "8.6"      "105501人评价"      "https://movie.douban.com/subject/1292214/"
"213"      "213"      "美国丽人"      "8.4"      "169388人评价"      "https://movie.douban.com/subject/1292062/"
"214"      "214"      "上帝也疯狂"      "8.6"      "88486人评价"      "https://movie.douban.com/subject/1297478/"
"215"      "215"      "城市之光"      "9.2"      "38048人评价"      "https://movie.douban.com/subject/1293908/"
"216"      "216"      "无耻混蛋"      "8.4"      "204995人评价"      "https://movie.douban.com/subject/1438652/"
"217"      "217"      "初恋这件小事"      "8.2"      "419459人评价"      "https://movie.douban.com/subject/4739952/"
"218"      "218"      "勇士"      "8.9"      "80193人评价"      "https://movie.douban.com/subject/3217169/"
"219"      "219"      "爱·回家"      "9.0"      "43423人评价"      "https://movie.douban.com/subject/1299361/"
"220"      "220"      "蓝色大门"      "8.2"      "255440人评价"      "https://movie.douban.com/subject/1308575/"
"221"      "221"      "曾经"      "8.3"      "190107人评价"      "https://movie.douban.com/subject/2053515/"
"222"      "222"      "无敌破坏王"      "8.6"      "170500人评价"      "https://movie.douban.com/subject/6534248/"
"223"      "223"      "麦兜故事"      "8.5"      "118091人评价"      "https://movie.douban.com/subject/1302476/"
"224"      "224"      "暖暖内含光"      "8.4"      "133065人评价"      "https://movie.douban.com/subject/1308777/"
"225"      "225"      "蝴蝶"      "8.6"      "89923人评价"      "https://movie.douban.com/subject/1292056/"
"226"      "226"      "大卫·戈尔的一生"      "8.7"      "78092人评价"      "https://movie.douban.com/subject/1305725/"
"227"      "227"      "与狼共舞"      "8.9"      "52454人评价"      "https://movie.douban.com/subject/1293764/"
"228"      "228"      "血钻"      "8.5"      "116629人评价"      "https://movie.douban.com/subject/1428175/"
"229"      "229"      "模仿游戏"      "8.5"      "227308人评价"      "https://movie.douban.com/subject/10463953/"
"230"      "230"      "国王的演讲"      "8.3"      "310581人评价"      "https://movie.douban.com/subject/4023638/"
"231"      "231"      "遗愿清单"      "8.5"      "113482人评价"      "https://movie.douban.com/subject/1867345/"
"232"      "232"      "巴黎淘气帮"      "8.6"      "98429人评价"      "https://movie.douban.com/subject/3157605/"
"233"      "233"      "偷拐抢骗"      "8.5"      "106609人评价"      "https://movie.douban.com/subject/1301171/"
"234"      "234"      "荒岛余生"      "8.4"      "120052人评价"      "https://movie.douban.com/subject/1298653/"
"235"      "235"      "夜访吸血鬼"      "8.3"      "183266人评价"      "https://movie.douban.com/subject/1299327/"
"236"      "236"      "疯狂的石头"      "8.2"      "279554人评价"      "https://movie.douban.com/subject/1862151/"
"237"      "237"      "枪火"      "8.6"      "87991人评价"      "https://movie.douban.com/subject/1300741/"
"238"      "238"      "千钧一发"      "8.7"      "74033人评价"      "https://movie.douban.com/subject/1300117/"
"239"      "239"      "中央车站"      "8.7"      "71411人评价"      "https://movie.douban.com/subject/1292218/"
"240"      "240"      "爱在暹罗"      "8.3"      "207390人评价"      "https://movie.douban.com/subject/2365260/"
"241"      "241"      "爱在午夜降临前"      "8.7"      "101958人评价"      "https://movie.douban.com/subject/10808442/"
"242"      "242"      "月球"      "8.5"      "129735人评价"      "https://movie.douban.com/subject/3073124/"
"243"      "243"      "寿司之神"      "8.8"      "73562人评价"      "https://movie.douban.com/subject/6146955/"
"244"      "244"      "我爱你"      "9.0"      "49416人评价"      "https://movie.douban.com/subject/5908478/"
"245"      "245"      "两小无猜"      "8.1"      "299308人评价"      "https://movie.douban.com/subject/1308817/"
"246"      "246"      "罪恶之城"      "8.4"      "131113人评价"      "https://movie.douban.com/subject/1309027/"
"247"      "247"      "廊桥遗梦"      "8.5"      "88837人评价"      "https://movie.douban.com/subject/1293929/"
"248"      "248"      "假如爱有天意"      "8.2"      "212792人评价"      "https://movie.douban.com/subject/1304073/"
"249"      "249"      "黑鹰坠落"      "8.5"      "99164人评价"      "https://movie.douban.com/subject/1291824/"
"250"      "250"      "角斗士"      "8.4"      "119518人评价"      "https://movie.douban.com/subject/1293530/"
