"英雄","比赛","胜率","KDA","杀","死","助","正反补","反补总数","金钱/分钟","经验/分钟","Pick次数","Pick率","Pick胜率","平均Pick序位","Ban次数","Ban率","Ban胜率","平均Ban序位"
"斯温",8,0.375,3.5,8.13,4.75,8.5,351.75,10.5,599.13,632.25,8,0.0179,0.375,4,8,0.0179,0.625,4.9
"死亡先知",6,0.5,4.08,8.83,4.33,8.83,295.17,13.17,559.33,583.33,6,0.0134,0.5,5,3,0.0067,0.6667,4.7
"剃刀",3,0.3333,2.58,7,8,13.67,320,12.67,522,617.33,3,0.0067,0.3333,5,0,0,0,0
"天怒法师",1,1,10,14,2,6,136,25,538,494,1,0.0022,1,5,0,0,0,0
"天穹守望者",7,0.1429,3.03,5.71,5,9.43,311.29,12,636.29,499.71,7,0.0156,0.1429,3,2,0.0045,0.5,3.5
"痛苦女王",4,0.75,9.56,10,2.25,11.5,442.75,26,683.25,714.25,4,0.0089,0.75,4.8,2,0.0045,1,4
"维萨吉",3,0.3333,3.25,4.33,4,8.67,79.67,1.67,309,347.67,3,0.0067,0.3333,3.7,1,0.0022,1,4
"巫妖",2,0.5,3.69,5.5,6.5,18.5,50.5,0.5,293,407.5,2,0.0045,0.5,1,1,0.0022,1,1
"巫医",9,0.2222,1.7,3.67,7,8.22,25.33,1.22,218.33,249.78,9,0.0201,0.2222,2.9,1,0.0022,0,5
"先知",14,0.4286,3.18,5.64,6.07,13.64,334,6,585,519.43,14,0.0313,0.4286,2.4,18,0.0402,0.3889,2.2
"小小",5,0.2,2.77,8.8,5.2,5.6,218.6,7.6,448.4,496.4,5,0.0112,0.2,5,0,0,0,0
"熊战士",8,0.625,4.94,10.13,4.13,10.25,275.75,13,576,625.38,8,0.0179,0.625,2.8,17,0.0379,0.5294,3.7
"修补匠",6,0.1667,2.26,8.17,6.5,6.5,308.33,10.5,485,477.17,6,0.0134,0.1667,4.8,12,0.0268,0.5833,4.8
"虚空假面",6,0.1667,4.25,6.5,4,10.5,280.83,17.67,555.67,554.83,6,0.0134,0.1667,4.7,4,0.0089,0.75,4.3
"亚巴顿",22,0.5455,3.25,2.95,4.68,12.27,216.91,6.09,445.55,562.32,22,0.0491,0.5455,2,17,0.0379,0.4118,1.9
"影魔",16,0.625,4.7,9.25,3.75,8.38,375.63,18.19,657.25,627.06,16,0.0357,0.625,4.2,37,0.0826,0.4054,3.8
"幽鬼",26,0.5385,6.67,8.88,3.46,14.19,358.15,8.62,565.46,598.96,26,0.058,0.5385,3.6,19,0.0424,0.3684,3.9
"育母蜘蛛",2,0,2.17,5,6,8,643,4.5,696,685,2,0.0045,0,5,0,0,0,0
"宙斯",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0022,1,4
"主宰",24,0.4167,3.85,6.63,4.08,9.08,332.08,15.58,584.71,567.71,24,0.0536,0.4167,2.8,29,0.0647,0.5172,3.5
"卓尔游侠",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0045,0,4
