"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
                            导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...
                            2002 / 巴西 法国 / 犯罪 剧情
                        " "8.9" "149604人评价" "https://movie.douban.com/subject/1292208/"
"87" "甜蜜蜜" "
                            导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...
                            1996 / 香港 / 剧情 爱情
                        " "8.7" "218618人评价" "https://movie.douban.com/subject/1305164/"
"88" "禁闭岛" "
                            导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
                            2010 / 美国 / 剧情 悬疑 惊悚
                        " "8.6" "333003人评价" "https://movie.douban.com/subject/2334904/"
"89" "致命ID" "
                            导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet
                            2003 / 美国 / 剧情 悬疑 惊悚
                        " "8.6" "294765人评价" "https://movie.douban.com/subject/1297192/"
"90" "告白" "
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...
                            2010 / 日本 / 剧情 惊悚
                        " "8.6" "318119人评价" "https://movie.douban.com/subject/4268598/"
"91" "一一" "
                            导演: 杨德昌   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elaine Jin
                            2000 / 台湾 日本 / 剧情 爱情 家庭
                        " "8.9" "143348人评价" "https://movie.douban.com/subject/1292434/"
"92" "加勒比海盗" "
                            导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...
                            2003 / 美国 / 动作 冒险 奇幻
                        " "8.6" "311687人评价" "https://movie.douban.com/subject/1298070/"
"93" "爱在黎明破晓前" "
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            1995 / 美国 奥地利 瑞士 / 剧情 爱情
                        " "8.7" "203381人评价" "https://movie.douban.com/subject/1296339/"
"94" "狩猎" "
                            导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...
                            2012 / 丹麦 瑞典 / 剧情
                        " "9.0" "111845人评价" "https://movie.douban.com/subject/6985810/"
"95" "布达佩斯大饭店" "
                            导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...
                            2014 / 美国 德国 英国 / 剧情 喜剧
                        " "8.7" "282097人评价" "https://movie.douban.com/subject/11525673/"
"96" "阿凡达" "
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...
                            2009 / 美国 英国 / 动作 冒险 奇幻 科幻
                        " "8.6" "499166人评价" "https://movie.douban.com/subject/1652587/"
"97" "断背山" "
