title	score	score_num	pic	link
摩登时代	9.2	79641人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173707976.jpg	https://movie.douban.com/subject/1294371/
爱在日落黄昏时	8.7	185488人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910924055.jpg	https://movie.douban.com/subject/1291990/
猫鼠游戏	8.7	200967人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453924541.jpg	https://movie.douban.com/subject/1305487/
侧耳倾听	8.8	154706人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p456692072.jpg	https://movie.douban.com/subject/1297052/
末代皇帝	8.8	146624人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p452088641.jpg	https://movie.douban.com/subject/1293172/
驯龙高手	8.7	265975人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p450042258.jpg	https://movie.douban.com/subject/2353023/
哈利·波特与魔法石	8.6	228024人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p804947166.jpg	https://movie.douban.com/subject/1295038/
超脱	8.7	158825人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1305562621.jpg	https://movie.douban.com/subject/5322596/
疯狂动物城	9.2	452630人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2315672647.jpg	https://movie.douban.com/subject/25662329/
海洋	9.0	94686人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p497010372.jpg	https://movie.douban.com/subject/3443389/
幸福终点站	8.6	212782人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p854757687.jpg	https://movie.douban.com/subject/1292274/
穿条纹睡衣的男孩	8.8	126335人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1473670352.jpg	https://movie.douban.com/subject/3008247/
燃情岁月	8.8	141855人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1023654037.jpg	https://movie.douban.com/subject/1295865/
菊次郎的夏天	8.7	164360人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p751835224.jpg	https://movie.douban.com/subject/1293359/
倩女幽魂	8.6	227389人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2347277555.jpg	https://movie.douban.com/subject/1297447/
消失的爱人	8.7	321344人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2221768894.jpg	https://movie.douban.com/subject/21318488/
神偷奶爸	8.5	343785人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792776858.jpg	https://movie.douban.com/subject/3287562/
电锯惊魂	8.6	185225人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2163771304.jpg	https://movie.douban.com/subject/1417598/
谍影重重3	8.7	168592人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792223507.jpg	https://movie.douban.com/subject/1578507/
真爱至上	8.5	291289人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p475600770.jpg	https://movie.douban.com/subject/1292401/
岁月神偷	8.6	288156人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p456666151.jpg	https://movie.douban.com/subject/3792799/
借东西的小人阿莉埃蒂	8.7	200842人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p617533616.jpg	https://movie.douban.com/subject/4202302/
雨人	8.6	197420人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p942376281.jpg	https://movie.douban.com/subject/1291870/
虎口脱险	8.9	100625人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2399597512.jpg	https://movie.douban.com/subject/1296909/
七武士	9.1	69650人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p647099823.jpg	https://movie.douban.com/subject/1295399/
恐怖直播	8.7	193409人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2016930906.jpg	https://movie.douban.com/subject/21360417/
贫民窟的百万富翁	8.5	375068人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p470476887.jpg	https://movie.douban.com/subject/2209573/
东邪西毒	8.6	232889人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1982176012.jpg	https://movie.douban.com/subject/1292328/
记忆碎片	8.5	257507人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p641688453.jpg	https://movie.douban.com/subject/1304447/
疯狂原始人	8.7	347745人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1867084027.jpg	https://movie.douban.com/subject/1907966/
杀人回忆	8.6	189642人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p480225538.jpg	https://movie.douban.com/subject/1300299/
怪兽电力公司	8.6	219907人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1805127697.jpg	https://movie.douban.com/subject/1291579/
红辣椒	8.8	114774人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p672363704.jpg	https://movie.douban.com/subject/1865703/
卢旺达饭店	8.8	109064人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2159368352.jpg	https://movie.douban.com/subject/1291822/
穿越时空的少女	8.6	172434人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2079334286.jpg	https://movie.douban.com/subject/1937946/
黑天鹅	8.5	389220人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p719282906.jpg	https://movie.douban.com/subject/1978709/
